TimestampSw,TimestampHw,Raw,Filtered
1679349608074,265708618.000,17214.000,53.000
1679349608090,265728637.000,17214.000,55.000
1679349608110,265748657.000,17228.000,57.000
1679349608130,265768676.000,17228.000,59.000
1679349608154,265788696.000,17233.000,60.000
1679349608170,265808746.000,17233.000,60.000
1679349608190,265828765.000,17174.000,51.000
1679349608210,265848785.000,17174.000,35.000
1679349608233,265868774.000,17105.000,14.000
1679349608250,265888793.000,17105.000,-11.000
1679349608270,265908813.000,17078.000,-33.000
1679349608290,265928833.000,17078.000,-52.000
1679349608313,265948852.000,17066.000,-66.000
1679349608335,265968872.000,17066.000,-77.000
1679349608350,265988891.000,17057.000,-84.000
1679349608370,266008911.000,17057.000,-89.000
1679349608392,266028930.000,17055.000,-91.000
1679349608410,266048950.000,17055.000,-91.000
1679349608435,266069000.000,17057.000,-89.000
1679349608450,266089019.000,17057.000,-85.000
1679349608472,266109039.000,17055.000,-81.000
1679349608495,266129028.000,17055.000,-76.000
1679349608515,266149047.000,17051.000,-72.000
1679349608535,266169067.000,17051.000,-68.000
1679349608555,266189086.000,17063.000,-62.000
1679349608575,266209106.000,17063.000,-55.000
1679349608590,266229125.000,17059.000,-49.000
1679349608615,266249145.000,17059.000,-44.000
1679349608635,266269165.000,17074.000,-38.000
1679349608654,266289184.000,17074.000,-30.000
1679349608670,266309204.000,17084.000,-23.000
1679349608694,266329223.000,17084.000,-15.000
1679349608710,266349243.000,17100.000,-8.000
1679349608730,266369262.000,17100.000,0.000
1679349608750,266389282.000,17110.000,7.000
1679349608774,266409301.000,17110.000,13.000
1679349608790,266429321.000,17122.000,19.000
1679349608810,266449340.000,17122.000,25.000
1679349608830,266469390.000,17134.000,30.000
1679349608854,266489410.000,17134.000,35.000
1679349608870,266509399.000,17140.000,38.000
1679349608890,266529418.000,17140.000,41.000
1679349608911,266549438.000,17155.000,44.000
1679349608934,266569458.000,17155.000,47.000
1679349608950,266589477.000,17166.000,50.000
1679349608970,266609497.000,17166.000,53.000
1679349608990,266629516.000,17174.000,55.000
1679349609013,266649536.000,17174.000,56.000
1679349609030,266669555.000,17147.000,52.000
1679349609050,266689575.000,17147.000,45.000
1679349609070,266709594.000,17073.000,28.000
1679349609094,266729614.000,17073.000,5.000
1679349609110,266749633.000,17036.000,-15.000
1679349609130,266769653.000,17036.000,-36.000
1679349609150,266789672.000,17026.000,-51.000
1679349609174,266809692.000,17026.000,-63.000
1679349609190,266829711.000,17018.000,-71.000
1679349609210,266849761.000,17018.000,-77.000
1679349609230,266869781.000,17019.000,-79.000
1679349609254,266889770.000,17019.000,-79.000
1679349609270,266909790.000,17025.000,-76.000
1679349609290,266929809.000,17025.000,-72.000
1679349609310,266949829.000,17022.000,-68.000
1679349609336,266969848.000,17022.000,-64.000
1679349609350,266989868.000,17019.000,-60.000
1679349609370,267009887.000,17019.000,-57.000
1679349609391,267029907.000,17015.000,-53.000
1679349609414,267049926.000,17015.000,-50.000
1679349609430,267069946.000,17022.000,-46.000
1679349609450,267089996.000,17022.000,-41.000
1679349609475,267110015.000,17031.000,-36.000
1679349609494,267130035.000,17031.000,-30.000
1679349609510,267150054.000,17051.000,-22.000
1679349609530,267170043.000,17051.000,-13.000
1679349609550,267190063.000,17062.000,-5.000
1679349609573,267210083.000,17062.000,2.000
1679349609590,267230102.000,17072.000,9.000
1679349609610,267250122.000,17072.000,15.000
1679349609630,267270141.000,17085.000,21.000
1679349609653,267290161.000,17085.000,26.000
1679349609670,267310180.000,17089.000,30.000
1679349609690,267330200.000,17089.000,33.000
1679349609710,267350219.000,17102.000,37.000
1679349609733,267370239.000,17102.000,40.000
1679349609750,267390258.000,17107.000,42.000
1679349609770,267410278.000,17107.000,44.000
1679349609790,267430297.000,17126.000,46.000
1679349609812,267450317.000,17126.000,50.000
1679349609830,267470336.000,17134.000,53.000
1679349609850,267490386.000,17134.000,55.000
1679349609870,267510406.000,17088.000,49.000
1679349609892,267530426.000,17088.000,37.000
1679349609910,267550415.000,17026.000,19.000
1679349609930,267570434.000,17026.000,-2.000
1679349609956,267590454.000,16996.000,-21.000
1679349609972,267610473.000,16996.000,-39.000
1679349609990,267630493.000,16993.000,-52.000
1679349610010,267650543.000,16993.000,-61.000
1679349610036,267670532.000,16990.000,-66.000
1679349610052,267690551.000,16990.000,-69.000
1679349610070,267710571.000,16990.000,-70.000
1679349610090,267730590.000,16990.000,-69.000
1679349610115,267750610.000,16996.000,-66.000
1679349610131,267770629.000,16996.000,-62.000
1679349610150,267790649.000,17006.000,-56.000
1679349610170,267810668.000,17006.000,-49.000
1679349610196,267830688.000,17002.000,-44.000
1679349610211,267850738.000,17002.000,-40.000
1679349610230,267870758.000,17012.000,-34.000
1679349610256,267890747.000,17012.000,-28.000
1679349610276,267910766.000,17019.000,-22.000
1679349610295,267930786.000,17019.000,-17.000
1679349610315,267950805.000,17028.000,-11.000
1679349610336,267970825.000,17028.000,-5.000
1679349610352,267990844.000,17042.000,0.000
1679349610370,268010864.000,17042.000,6.000
1679349610390,268030883.000,17057.000,13.000
1679349610415,268050903.000,17057.000,19.000
1679349610431,268070922.000,17072.000,25.000
1679349610450,268090972.000,17072.000,32.000
1679349610470,268110992.000,17080.000,37.000
1679349610496,268131011.000,17080.000,40.000
1679349610512,268151031.000,17091.000,44.000
1679349610530,268171020.000,17091.000,47.000
1679349610550,268191040.000,17100.000,50.000
1679349610576,268211059.000,17100.000,52.000
1679349610592,268231079.000,17115.000,54.000
1679349610610,268251098.000,17115.000,57.000
1679349610630,268271118.000,17124.000,59.000
1679349610650,268291137.000,17124.000,60.000
1679349610670,268311157.000,17142.000,63.000
1679349610696,268331176.000,17142.000,65.000
1679349610712,268351196.000,17129.000,64.000
1679349610730,268371215.000,17129.000,60.000
1679349610750,268391235.000,17064.000,47.000
1679349610770,268411254.000,17064.000,28.000
1679349610793,268431274.000,17018.000,7.000
1679349610811,268451293.000,17018.000,-13.000
1679349610830,268471313.000,16999.000,-31.000
1679349610850,268491363.000,16999.000,-46.000
1679349610873,268511383.000,17001.000,-56.000
1679349610890,268531402.000,17001.000,-62.000
1679349610910,268551391.000,16991.000,-66.000
1679349610930,268571411.000,16991.000,-69.000
1679349610953,268591430.000,17003.000,-68.000
1679349610970,268611450.000,17003.000,-64.000
1679349610990,268631469.000,17009.000,-60.000
1679349611010,268651489.000,17009.000,-54.000
1679349611034,268671508.000,17006.000,-49.000
1679349611050,268691528.000,17006.000,-45.000
1679349611077,268711547.000,17007.000,-41.000
1679349611090,268731567.000,17007.000,-37.000
1679349611116,268751586.000,17011.000,-33.000
