TimestampSw,TimestampHw,Raw,Filtered
1679264536483,64164337.000,19097.000,-107.000
1679264536509,64184356.000,19097.000,-99.000
1679264536533,64204376.000,19104.000,-90.000
1679264536543,64224395.000,19104.000,-81.000
1679264536563,64244415.000,19101.000,-73.000
1679264536593,64264434.000,19101.000,-67.000
1679264536604,64284454.000,19102.000,-60.000
1679264536623,64304473.000,19102.000,-54.000
1679264536653,64324493.000,19111.000,-47.000
1679264536673,64344543.000,19111.000,-40.000
1679264536686,64364532.000,19126.000,-32.000
1679264536713,64384552.000,19126.000,-23.000
1679264536733,64404632.000,19130.000,-16.000
1679264536748,64424591.000,19130.000,-10.000
1679264536775,64444641.000,19148.000,-3.000
1679264536782,64464660.000,19148.000,4.000
1679264536813,64484649.000,19160.000,11.000
1679264536833,64504669.000,19160.000,18.000
1679264536843,64524688.000,19169.000,23.000
1679264536873,64544708.000,19169.000,28.000
1679264536891,64564727.000,19180.000,33.000
1679264536913,64584777.000,19180.000,37.000
1679264536924,64604766.000,19189.000,40.000
1679264536943,64624786.000,19189.000,43.000
1679264536973,64644805.000,19200.000,46.000
1679264536988,64664825.000,19200.000,48.000
1679264537013,64684844.000,19211.000,51.000
1679264537033,64704864.000,19211.000,53.000
1679264537050,64724884.000,19225.000,55.000
1679264537066,64744903.000,19225.000,58.000
1679264537093,64764953.000,19233.000,59.000
1679264537114,64784973.000,19233.000,60.000
1679264537130,64804962.000,19251.000,62.000
1679264537146,64824981.000,19251.000,65.000
1679264537173,64845001.000,19262.000,67.000
1679264537194,64865020.000,19262.000,69.000
1679264537209,64885040.000,19274.000,70.000
1679264537233,64905059.000,19274.000,71.000
1679264537253,64925079.000,19283.000,72.000
1679264537263,64945098.000,19283.000,72.000
1679264537293,64965118.000,19281.000,70.000
1679264537313,64985137.000,19281.000,68.000
1679264537323,65005187.000,19169.000,49.000
1679264537343,65025207.000,19169.000,19.000
1679264537373,65045227.000,19105.000,-11.000
1679264537386,65065216.000,19105.000,-42.000
1679264537403,65085235.000,19080.000,-67.000
1679264537433,65105255.000,19080.000,-88.000
1679264537453,65125274.000,19072.000,-101.000
1679264537467,65145294.000,19072.000,-111.000
1679264537493,65165313.000,19077.000,-114.000
1679264537513,65185333.000,19077.000,-114.000
1679264537533,65205352.000,19069.000,-112.000
1679264537553,65225372.000,19069.000,-110.000
1679264537573,65245391.000,19065.000,-107.000
1679264537583,65265411.000,19065.000,-102.000
1679264537613,65285430.000,19087.000,-94.000
1679264537627,65305450.000,19087.000,-83.000
1679264537653,65325469.000,19085.000,-74.000
1679264537675,65345489.000,19085.000,-66.000
1679264537693,65365539.000,19082.000,-59.000
1679264537713,65385559.000,19082.000,-53.000
1679264537733,65405548.000,19084.000,-48.000
1679264537751,65425567.000,19084.000,-43.000
1679264537773,65445587.000,19094.000,-36.000
1679264537794,65465606.000,19094.000,-30.000
1679264537812,65485626.000,19111.000,-22.000
1679264537833,65505645.000,19111.000,-14.000
1679264537853,65525665.000,19120.000,-6.000
1679264537874,65545684.000,19120.000,0.000
1679264537883,65565704.000,19133.000,7.000
1679264537914,65585723.000,19133.000,13.000
1679264537934,65605743.000,19158.000,21.000
1679264537952,65625762.000,19158.000,30.000
1679264537974,65645782.000,19168.000,37.000
1679264537993,65665802.000,19168.000,43.000
1679264538016,65685821.000,19185.000,48.000
1679264538033,65705871.000,19185.000,54.000
1679264538056,65725860.000,19185.000,56.000
1679264538075,65745880.000,19185.000,57.000
1679264538092,65765899.000,19200.000,59.000
1679264538114,65785919.000,19200.000,61.000
1679264538133,65805938.000,19212.000,62.000
1679264538153,65825958.000,19212.000,64.000
1679264538173,65845977.000,19226.000,66.000
1679264538197,65865997.000,19226.000,68.000
1679264538212,65886016.000,19242.000,70.000
1679264538237,65906036.000,19242.000,72.000
1679264538253,65926086.000,19256.000,74.000
1679264538273,65946105.000,19256.000,76.000
1679264538296,65966125.000,19270.000,78.000
1679264538312,65986114.000,19270.000,79.000
1679264538333,66006134.000,19281.000,80.000
1679264538353,66026153.000,19281.000,81.000
1679264538373,66046173.000,19297.000,82.000
1679264538393,66066192.000,19297.000,83.000
1679264538413,66086212.000,19207.000,70.000
1679264538433,66106231.000,19207.000,46.000
1679264538457,66126251.000,19113.000,16.000
1679264538473,66146270.000,19113.000,-19.000
1679264538495,66166320.000,19090.000,-47.000
1679264538514,66186309.000,19090.000,-70.000
1679264538534,66206329.000,19082.000,-87.000
1679264538553,66226348.000,19082.000,-98.000
1679264538573,66246368.000,19082.000,-104.000
1679264538592,66266387.000,19082.000,-106.000
1679264538616,66286437.000,19072.000,-107.000
1679264538632,66306457.000,19072.000,-107.000
1679264538653,66326446.000,19077.000,-104.000
1679264538677,66346466.000,19077.000,-99.000
1679264538693,66366485.000,19082.000,-92.000
1679264538714,66386535.000,19082.000,-85.000
1679264538734,66406524.000,19092.000,-77.000
1679264538753,66426544.000,19092.000,-67.000
1679264538772,66446563.000,19090.000,-60.000
1679264538793,66466583.000,19090.000,-53.000
1679264538813,66486602.000,19087.000,-48.000
1679264538833,66506622.000,19087.000,-43.000
1679264538855,66526641.000,19095.000,-38.000
1679264538873,66546661.000,19095.000,-32.000
1679264538893,66566680.000,19112.000,-25.000
1679264538913,66586700.000,19112.000,-17.000
1679264538935,66606781.000,19127.000,-9.000
1679264538953,66626770.000,19127.000,0.000
1679264538973,66646789.000,19133.000,5.000
1679264538993,66666778.000,19133.000,11.000
1679264539014,66686798.000,19156.000,18.000
1679264539037,66706817.000,19156.000,26.000
1679264539053,66726837.000,19170.000,33.000
1679264539073,66746856.000,19170.000,39.000
1679264539093,66766876.000,19181.000,45.000
1679264539114,66786895.000,19181.000,49.000
1679264539133,66806915.000,19201.000,54.000
